Indicador,Any,Resposta,Edat,Sexe,Classe social,Estudis,Territoris,percentatge,poblacio_absoluta,mostra,valor_absolut
Malestar emocional,2026,Sí,65 i més,Dona,Classe I,Estudis universitaris,Àrea Metropolitana Sud,26.6,941513,3767,250442
Malestar emocional,2026,No,65 i més,Dona,Classe I,Estudis universitaris,Àrea Metropolitana Sud,73.4,1220726,2630,896013
Malestar emocional,2024,Sí,65 i més,Home,Classe II,Estudis secundaris,Barcelona Ciutat,27.5,748114,653,205731
Malestar emocional,2024,No,65 i més,Home,Classe II,Estudis secundaris,Barcelona Ciutat,72.5,139051,215,100812
Malestar emocional,2023,Sí,75 i més,Dona,Classe I,Estudis secundaris,Lleida,31.3,1352386,2618,423297
Malestar emocional,2023,No,75 i més,Dona,Classe I,Estudis secundaris,Lleida,68.7,136862,431,94024
Malestar emocional,2024,Sí,45 - 64,Dona,Classe III,Estudis universitaris,Àrea Metropolitana Sud,27.3,534230,1145,145845
Malestar emocional,2024,No,45 - 64,Dona,Classe III,Estudis universitaris,Àrea Metropolitana Sud,72.7,1457900,1872,1059893
Malestar emocional,2026,Sí,75 i més,Home,Classe II,Estudis primaris i sense estudis,Cat. Central,27.5,1449601,4925,398640
Malestar emocional,2026,No,75 i més,Home,Classe II,Estudis primaris i sense estudis,Cat. Central,72.5,869633,973,630484
Malestar emocional,2026,Sí,45 - 64,Dona,Classe I,Estudis secundaris,Girona,27.9,150601,510,42018
Malestar emocional,2026,No,45 - 64,Dona,Classe I,Estudis secundaris,Girona,72.1,739256,3459,533004
Malestar emocional,2026,Sí,45 - 64,Home,Classe III,Estudis secundaris,Camp de Tarragona,30.7,443000,834,136001
Malestar emocional,2026,No,45 - 64,Home,Classe III,Estudis secundaris,Camp de Tarragona,69.3,1208289,1253,837344
Malestar emocional,2023,Sí,45 - 64,Home,Classe I,Estudis universitaris,Alt Pirineu i Aran,21.6,1487728,3478,321349
Malestar emocional,2023,No,45 - 64,Home,Classe I,Estudis universitaris,Alt Pirineu i Aran,78.4,121682,308,95399
Malestar emocional,2023,Sí,0 - 14,Home,Classe I,Estudis primaris i sense estudis,Barcelona Ciutat,24.0,1220574,4707,292938
Malestar emocional,2023,No,0 - 14,Home,Classe I,Estudis primaris i sense estudis,Barcelona Ciutat,76.0,1251397,823,951062
Malestar emocional,2027,Sí,45 - 64,Home,Classe II,Estudis secundaris,Àrea Metropolitana Nord,22.1,163148,285,36056
Malestar emocional,2027,No,45 - 64,Home,Classe II,Estudis secundaris,Àrea Metropolitana Nord,77.9,788754,2788,614439
Malestar emocional,2025,Sí,0 - 14,Dona,Classe III,Estudis primaris i sense estudis,Lleida,24.6,262546,1215,64586
Malestar emocional,2025,No,0 - 14,Dona,Classe III,Estudis primaris i sense estudis,Lleida,75.4,783928,564,591082
Malestar emocional,2024,Sí,0 - 14,Dona,Classe III,Estudis universitaris,Alt Pirineu i Aran,27.8,1368355,2759,380403
Malestar emocional,2024,No,0 - 14,Dona,Classe III,Estudis universitaris,Alt Pirineu i Aran,72.2,340516,213,245853
Malestar emocional,2024,Sí,0 - 14,Dona,Classe II,Estudis universitaris,Lleida,23.4,844735,2968,197668
Malestar emocional,2024,No,0 - 14,Dona,Classe II,Estudis universitaris,Lleida,76.6,716594,1958,548911
Malestar emocional,2025,Sí,15 - 44,Dona,Classe II,Estudis secundaris,Àrea Metropolitana Sud,35.0,951317,3678,332961
Malestar emocional,2025,No,15 - 44,Dona,Classe II,Estudis secundaris,Àrea Metropolitana Sud,65.0,1491664,7220,969582
Malestar emocional,2027,Sí,45 - 64,Dona,Classe III,Estudis primaris i sense estudis,Terres de l’Ebre,26.3,522882,1640,137518
Malestar emocional,2027,No,45 - 64,Dona,Classe III,Estudis primaris i sense estudis,Terres de l’Ebre,73.7,887873,1583,654362
Malestar emocional,2027,Sí,45 - 64,Dona,Classe III,Estudis universitaris,Àrea Metropolitana Sud,28.1,1164880,4212,327331
Malestar emocional,2027,No,45 - 64,Dona,Classe III,Estudis universitaris,Àrea Metropolitana Sud,71.9,1438910,6928,1034576
Malestar emocional,2025,Sí,15 - 44,Home,Classe I,Estudis universitaris,Barcelona Ciutat,31.3,190756,950,59707
Malestar emocional,2025,No,15 - 44,Home,Classe I,Estudis universitaris,Barcelona Ciutat,68.7,1093483,3705,751223
Malestar emocional,2023,Sí,15 i més,Dona,Classe I,Estudis primaris i sense estudis,Camp de Tarragona,16.6,189009,233,31375
Malestar emocional,2023,No,15 i més,Dona,Classe I,Estudis primaris i sense estudis,Camp de Tarragona,83.4,167410,155,139620
Malestar emocional,2023,Sí,15 i més,Home,Classe I,Estudis universitaris,Àrea Metropolitana Sud,29.8,1231530,1856,366996
Malestar emocional,2023,No,15 i més,Home,Classe I,Estudis universitaris,Àrea Metropolitana Sud,70.2,553523,841,388573
Malestar emocional,2027,Sí,75 i més,Dona,Classe III,Estudis secundaris,Terres de l’Ebre,22.5,640115,1256,144026
Malestar emocional,2027,No,75 i més,Dona,Classe III,Estudis secundaris,Terres de l’Ebre,77.5,1114511,2620,863746
Malestar emocional,2025,Sí,15 i més,Dona,Classe III,Estudis primaris i sense estudis,Lleida,18.9,615928,3006,116410
Malestar emocional,2025,No,15 i més,Dona,Classe III,Estudis primaris i sense estudis,Lleida,81.1,700061,2675,567749
Malestar emocional,2026,Sí,0 - 14,Dona,Classe I,Estudis primaris i sense estudis,Camp de Tarragona,23.8,1018262,624,242346
Malestar emocional,2026,No,0 - 14,Dona,Classe I,Estudis primaris i sense estudis,Camp de Tarragona,76.2,1485251,1327,1131761
Malestar emocional,2023,Sí,15 i més,Dona,Classe II,Estudis secundaris,Alt Pirineu i Aran,16.7,1241952,5530,207406
Malestar emocional,2023,No,15 i més,Dona,Classe II,Estudis secundaris,Alt Pirineu i Aran,83.3,139928,564,116560
Malestar emocional,2026,Sí,15 i més,Home,Classe III,Estudis secundaris,Girona,34.2,1446865,4558,494828
Malestar emocional,2026,No,15 i més,Home,Classe III,Estudis secundaris,Girona,65.8,604315,939,397639
Malestar emocional,2025,Sí,15 - 44,Home,Classe II,Estudis secundaris,Àrea Metropolitana Sud,25.3,265256,374,67110
Malestar emocional,2025,No,15 - 44,Home,Classe II,Estudis secundaris,Àrea Metropolitana Sud,74.7,1475836,5851,1102449
Malestar emocional,2025,Sí,45 - 64,Home,Classe III,Estudis secundaris,Alt Pirineu i Aran,23.5,1478588,4981,347468
Malestar emocional,2025,No,45 - 64,Home,Classe III,Estudis secundaris,Alt Pirineu i Aran,76.5,389145,1167,297696
Malestar emocional,2024,Sí,65 - 74,Home,Classe III,Estudis universitaris,Barcelona Ciutat,25.1,1372747,5164,344559
Malestar emocional,2024,No,65 - 74,Home,Classe III,Estudis universitaris,Barcelona Ciutat,74.9,552989,2690,414189
Malestar emocional,2026,Sí,15 i més,Dona,Classe II,Estudis universitaris,Àrea Metropolitana Nord,27.2,1225864,2839,333435
Malestar emocional,2026,No,15 i més,Dona,Classe II,Estudis universitaris,Àrea Metropolitana Nord,72.8,188918,194,137532
Malestar emocional,2025,Sí,15 i més,Dona,Classe I,Estudis secundaris,Girona,25.7,700703,2543,180081
Malestar emocional,2025,No,15 i més,Dona,Classe I,Estudis secundaris,Girona,74.3,258745,653,192248
Malestar emocional,2025,Sí,15 i més,Home,Classe II,Estudis primaris i sense estudis,Alt Pirineu i Aran,25.9,1254152,5642,324825
Malestar emocional,2025,No,15 i més,Home,Classe II,Estudis primaris i sense estudis,Alt Pirineu i Aran,74.1,746231,2835,552957
Malestar emocional,2025,Sí,75 i més,Home,Classe I,Estudis universitaris,Alt Pirineu i Aran,28.2,478846,678,135035
Malestar emocional,2025,No,75 i més,Home,Classe I,Estudis universitaris,Alt Pirineu i Aran,71.8,568177,1966,407951
Malestar emocional,2027,Sí,75 i més,Dona,Classe II,Estudis primaris i sense estudis,Barcelona Ciutat,19.4,1304517,5276,253076
Malestar emocional,2027,No,75 i més,Dona,Classe II,Estudis primaris i sense estudis,Barcelona Ciutat,80.6,212877,150,171579
Malestar emocional,2023,Sí,75 i més,Home,Classe I,Estudis universitaris,Lleida,24.1,569949,2095,137358
Malestar emocional,2023,No,75 i més,Home,Classe I,Estudis universitaris,Lleida,75.9,403881,605,306546
Malestar emocional,2025,Sí,75 i més,Dona,Classe III,Estudis primaris i sense estudis,Àrea Metropolitana Sud,18.1,860173,858,155691
Malestar emocional,2025,No,75 i més,Dona,Classe III,Estudis primaris i sense estudis,Àrea Metropolitana Sud,81.9,1368495,5159,1120797
Malestar emocional,2027,Sí,65 - 74,Dona,Classe II,Estudis secundaris,Terres de l’Ebre,30.0,831502,2180,249451
Malestar emocional,2027,No,65 - 74,Dona,Classe II,Estudis secundaris,Terres de l’Ebre,70.0,368912,1432,258238
Malestar emocional,2026,Sí,45 - 64,Dona,Classe I,Estudis primaris i sense estudis,Lleida,30.4,882959,783,268420
Malestar emocional,2026,No,45 - 64,Dona,Classe I,Estudis primaris i sense estudis,Lleida,69.6,698741,438,486324
Malestar emocional,2027,Sí,65 - 74,Dona,Classe III,Estudis secundaris,Camp de Tarragona,34.4,362966,598,124860
Malestar emocional,2027,No,65 - 74,Dona,Classe III,Estudis secundaris,Camp de Tarragona,65.6,1315862,3397,863205
Malestar emocional,2023,Sí,45 - 64,Home,Classe I,Estudis secundaris,Camp de Tarragona,24.2,403938,1384,97753
Malestar emocional,2023,No,45 - 64,Home,Classe I,Estudis secundaris,Camp de Tarragona,75.8,1099986,3294,833789
Malestar emocional,2023,Sí,15 - 44,Dona,Classe II,Estudis universitaris,Terres de l’Ebre,25.9,243184,1120,62985
Malestar emocional,2023,No,15 - 44,Dona,Classe II,Estudis universitaris,Terres de l’Ebre,74.1,1201212,1472,890098
Malestar emocional,2024,Sí,15 - 44,Dona,Classe III,Estudis primaris i sense estudis,Àrea Metropolitana Nord,31.2,1198810,4679,374029
Malestar emocional,2024,No,15 - 44,Dona,Classe III,Estudis primaris i sense estudis,Àrea Metropolitana Nord,68.8,1044354,2446,718516
Malestar emocional,2023,Sí,45 - 64,Dona,Classe II,Estudis secundaris,Camp de Tarragona,25.9,650724,1443,168538
Malestar emocional,2023,No,45 - 64,Dona,Classe II,Estudis secundaris,Camp de Tarragona,74.1,767439,1702,568672
Malestar emocional,2026,Sí,75 i més,Home,Classe I,Estudis primaris i sense estudis,Barcelona Ciutat,24.3,1461068,6606,355040
Malestar emocional,2026,No,75 i més,Home,Classe I,Estudis primaris i sense estudis,Barcelona Ciutat,75.7,1119615,2858,847549
Malestar emocional,2024,Sí,0 - 14,Dona,Classe II,Estudis universitaris,Àrea Metropolitana Sud,31.2,836440,1686,260969
Malestar emocional,2024,No,0 - 14,Dona,Classe II,Estudis universitaris,Àrea Metropolitana Sud,68.8,403422,895,277554
Malestar emocional,2023,Sí,45 - 64,Home,Classe III,Estudis primaris i sense estudis,Alt Pirineu i Aran,26.9,437528,1892,117695
Malestar emocional,2023,No,45 - 64,Home,Classe III,Estudis primaris i sense estudis,Alt Pirineu i Aran,73.1,1193307,1962,872307
Malestar emocional,2023,Sí,15 - 44,Dona,Classe I,Estudis primaris i sense estudis,Cat. Central,32.2,1005022,2820,323617
Malestar emocional,2023,No,15 - 44,Dona,Classe I,Estudis primaris i sense estudis,Cat. Central,67.8,411094,739,278722
Malestar emocional,2023,Sí,15 i més,Home,Classe III,Estudis secundaris,Girona,15.5,1171579,5707,181595
Malestar emocional,2023,No,15 i més,Home,Classe III,Estudis secundaris,Girona,84.5,1383494,3949,1169052
Malestar emocional,2025,Sí,65 - 74,Dona,Classe II,Estudis universitaris,Girona,29.3,380675,1638,111538
Malestar emocional,2025,No,65 - 74,Dona,Classe II,Estudis universitaris,Girona,70.7,329034,1124,232627
Malestar emocional,2023,Sí,15 i més,Dona,Classe III,Estudis universitaris,Cat. Central,18.7,740524,1956,138478
Malestar emocional,2023,No,15 i més,Dona,Classe III,Estudis universitaris,Cat. Central,81.3,1321447,5197,1074336
Malestar emocional,2027,Sí,45 - 64,Home,Classe I,Estudis secundaris,Àrea Metropolitana Sud,30.0,815609,3005,244683
Malestar emocional,2027,No,45 - 64,Home,Classe I,Estudis secundaris,Àrea Metropolitana Sud,70.0,110622,69,77435
Malestar emocional,2024,Sí,15 i més,Dona,Classe II,Estudis primaris i sense estudis,Camp de Tarragona,17.1,1353004,6246,231364
Malestar emocional,2024,No,15 i més,Dona,Classe II,Estudis primaris i sense estudis,Camp de Tarragona,82.9,1425802,957,1181990
Malestar emocional,2023,Sí,15 i més,Home,Classe I,Estudis primaris i sense estudis,Lleida,21.2,1413246,4105,299608
Malestar emocional,2023,No,15 i més,Home,Classe I,Estudis primaris i sense estudis,Lleida,78.8,305712,1072,240901
Malestar emocional,2023,Sí,75 i més,Dona,Classe II,Estudis universitaris,Barcelona Ciutat,20.6,998022,676,205593
Malestar emocional,2023,No,75 i més,Dona,Classe II,Estudis universitaris,Barcelona Ciutat,79.4,537703,989,426936
Malestar emocional,2026,Sí,65 - 74,Home,Classe II,Estudis secundaris,Camp de Tarragona,17.2,174266,650,29974
Malestar emocional,2026,No,65 - 74,Home,Classe II,Estudis secundaris,Camp de Tarragona,82.8,1031314,3874,853928
Malestar emocional,2026,Sí,65 i més,Home,Classe II,Estudis universitaris,Alt Pirineu i Aran,30.9,266453,1269,82334
Malestar emocional,2026,No,65 i més,Home,Classe II,Estudis universitaris,Alt Pirineu i Aran,69.1,1250047,1881,863782
Malestar emocional,2026,Sí,15 i més,Home,Classe II,Estudis secundaris,Àrea Metropolitana Sud,24.2,659846,3223,159683
Malestar emocional,2026,No,15 i més,Home,Classe II,Estudis secundaris,Àrea Metropolitana Sud,75.8,1432246,2263,1085642
Malestar emocional,2023,Sí,15 - 44,Dona,Classe II,Estudis universitaris,Àrea Metropolitana Sud,27.5,582785,1568,160266
Malestar emocional,2023,No,15 - 44,Dona,Classe II,Estudis universitaris,Àrea Metropolitana Sud,72.5,995640,1671,721839
Malestar emocional,2023,Sí,0 - 14,Home,Classe III,Estudis primaris i sense estudis,Àrea Metropolitana Sud,32.0,1079707,4604,345506
Malestar emocional,2023,No,0 - 14,Home,Classe III,Estudis primaris i sense estudis,Àrea Metropolitana Sud,68.0,285469,578,194119
Malestar emocional,2024,Sí,75 i més,Home,Classe I,Estudis primaris i sense estudis,Barcelona Ciutat,22.9,200876,986,46001
Malestar emocional,2024,No,75 i més,Home,Classe I,Estudis primaris i sense estudis,Barcelona Ciutat,77.1,1015107,4969,782647
Malestar emocional,2024,Sí,15 i més,Home,Classe III,Estudis secundaris,Àrea Metropolitana Sud,20.1,502160,752,100934
Malestar emocional,2024,No,15 i més,Home,Classe III,Estudis secundaris,Àrea Metropolitana Sud,79.9,1445131,977,1154660
Malestar emocional,2027,Sí,0 - 14,Home,Classe II,Estudis primaris i sense estudis,Girona,17.6,491863,2217,86568
Malestar emocional,2027,No,0 - 14,Home,Classe II,Estudis primaris i sense estudis,Girona,82.4,1291991,2479,1064601
Malestar emocional,2024,Sí,0 - 14,Dona,Classe II,Estudis primaris i sense estudis,Terres de l’Ebre,22.2,496921,1327,110316
Malestar emocional,2024,No,0 - 14,Dona,Classe II,Estudis primaris i sense estudis,Terres de l’Ebre,77.8,1101621,1876,857061
Malestar emocional,2023,Sí,45 - 64,Dona,Classe III,Estudis secundaris,Camp de Tarragona,16.7,660749,648,110345
Malestar emocional,2023,No,45 - 64,Dona,Classe III,Estudis secundaris,Camp de Tarragona,83.3,863622,2348,719397
Malestar emocional,2024,Sí,0 - 14,Home,Classe III,Estudis primaris i sense estudis,Alt Pirineu i Aran,35.0,635611,1618,222464
Malestar emocional,2024,No,0 - 14,Home,Classe III,Estudis primaris i sense estudis,Alt Pirineu i Aran,65.0,1091273,715,709327
Malestar emocional,2026,Sí,15 i més,Dona,Classe I,Estudis primaris i sense estudis,Lleida,16.9,1119335,2885,189168
Malestar emocional,2026,No,15 i més,Dona,Classe I,Estudis primaris i sense estudis,Lleida,83.1,790354,2880,656784
Malestar emocional,2026,Sí,0 - 14,Home,Classe II,Estudis universitaris,Barcelona Ciutat,17.6,1180766,5889,207815
Malestar emocional,2026,No,0 - 14,Home,Classe II,Estudis universitaris,Barcelona Ciutat,82.4,304260,815,250710
Malestar emocional,2024,Sí,45 - 64,Dona,Classe II,Estudis secundaris,Camp de Tarragona,19.6,651499,1556,127694
Malestar emocional,2024,No,45 - 64,Dona,Classe II,Estudis secundaris,Camp de Tarragona,80.4,383641,1499,308447
Malestar emocional,2023,Sí,45 - 64,Dona,Classe I,Estudis secundaris,Barcelona Ciutat,26.3,1358425,3538,357266
Malestar emocional,2023,No,45 - 64,Dona,Classe I,Estudis secundaris,Barcelona Ciutat,73.7,1169211,4903,861709
Malestar emocional,2025,Sí,65 - 74,Dona,Classe III,Estudis secundaris,Girona,26.6,268357,496,71383
Malestar emocional,2025,No,65 - 74,Dona,Classe III,Estudis secundaris,Girona,73.4,1129005,3937,828690
Malestar emocional,2026,Sí,65 - 74,Dona,Classe III,Estudis universitaris,Girona,17.9,523846,1064,93768
Malestar emocional,2026,No,65 - 74,Dona,Classe III,Estudis universitaris,Girona,82.1,1345226,2751,1104431
Malestar emocional,2027,Sí,15 i més,Home,Classe I,Estudis primaris i sense estudis,Camp de Tarragona,34.4,1014749,2245,349074
Malestar emocional,2027,No,15 i més,Home,Classe I,Estudis primaris i sense estudis,Camp de Tarragona,65.6,194334,542,127483
Malestar emocional,2023,Sí,65 i més,Dona,Classe III,Estudis universitaris,Lleida,24.2,823272,2151,199232
Malestar emocional,2023,No,65 i més,Dona,Classe III,Estudis universitaris,Lleida,75.8,367474,1199,278545
Malestar emocional,2025,Sí,75 i més,Home,Classe I,Estudis primaris i sense estudis,Barcelona Ciutat,19.0,1067091,2336,202747
Malestar emocional,2025,No,75 i més,Home,Classe I,Estudis primaris i sense estudis,Barcelona Ciutat,81.0,1380325,3362,1118063
Malestar emocional,2025,Sí,75 i més,Dona,Classe I,Estudis primaris i sense estudis,Terres de l’Ebre,25.7,1450117,3006,372680
Malestar emocional,2025,No,75 i més,Dona,Classe I,Estudis primaris i sense estudis,Terres de l’Ebre,74.3,845732,1741,628379
Malestar emocional,2026,Sí,65 i més,Dona,Classe III,Estudis primaris i sense estudis,Àrea Metropolitana Sud,32.9,1378912,6080,453662
Malestar emocional,2026,No,65 i més,Dona,Classe III,Estudis primaris i sense estudis,Àrea Metropolitana Sud,67.1,155079,629,104058
Malestar emocional,2023,Sí,65 - 74,Dona,Classe I,Estudis universitaris,Lleida,24.2,720331,3466,174320
Malestar emocional,2023,No,65 - 74,Dona,Classe I,Estudis universitaris,Lleida,75.8,1109232,984,840798
Malestar emocional,2024,Sí,15 - 44,Home,Classe III,Estudis primaris i sense estudis,Girona,16.4,1223504,4806,200655
Malestar emocional,2024,No,15 - 44,Home,Classe III,Estudis primaris i sense estudis,Girona,83.6,485927,1839,406235
Malestar emocional,2027,Sí,45 - 64,Home,Classe III,Estudis primaris i sense estudis,Àrea Metropolitana Sud,26.5,1047843,4881,277678
Malestar emocional,2027,No,45 - 64,Home,Classe III,Estudis primaris i sense estudis,Àrea Metropolitana Sud,73.5,143193,258,105247
Malestar emocional,2023,Sí,65 - 74,Dona,Classe I,Estudis universitaris,Alt Pirineu i Aran,15.0,663192,345,99479
Malestar emocional,2023,No,65 - 74,Dona,Classe I,Estudis universitaris,Alt Pirineu i Aran,85.0,147224,453,125140
Malestar emocional,2025,Sí,75 i més,Home,Classe I,Estudis universitaris,Girona,22.4,945998,4438,211904
Malestar emocional,2025,No,75 i més,Home,Classe I,Estudis universitaris,Girona,77.6,232645,310,180533
Malestar emocional,2024,Sí,75 i més,Dona,Classe III,Estudis secundaris,Camp de Tarragona,26.7,1033882,2124,276046
Malestar emocional,2024,No,75 i més,Dona,Classe III,Estudis secundaris,Camp de Tarragona,73.3,1204068,1288,882582
Malestar emocional,2027,Sí,65 i més,Home,Classe III,Estudis secundaris,Alt Pirineu i Aran,26.1,663702,785,173226
Malestar emocional,2027,No,65 i més,Home,Classe III,Estudis secundaris,Alt Pirineu i Aran,73.9,841215,3365,621658
Malestar emocional,2027,Sí,75 i més,Dona,Classe II,Estudis primaris i sense estudis,Àrea Metropolitana Nord,34.0,507882,2499,172680
Malestar emocional,2027,No,75 i més,Dona,Classe II,Estudis primaris i sense estudis,Àrea Metropolitana Nord,66.0,990654,4723,653832
Malestar emocional,2026,Sí,15 - 44,Home,Classe II,Estudis primaris i sense estudis,Barcelona Ciutat,22.6,104787,137,23682
Malestar emocional,2026,No,15 - 44,Home,Classe II,Estudis primaris i sense estudis,Barcelona Ciutat,77.4,343719,1025,266039
Malestar emocional,2027,Sí,15 i més,Home,Classe I,Estudis secundaris,Barcelona Ciutat,16.4,408315,1044,66964
Malestar emocional,2027,No,15 i més,Home,Classe I,Estudis secundaris,Barcelona Ciutat,83.6,1089723,4636,911008
Malestar emocional,2027,Sí,75 i més,Dona,Classe I,Estudis universitaris,Barcelona Ciutat,25.5,1163292,1358,296639
Malestar emocional,2027,No,75 i més,Dona,Classe I,Estudis universitaris,Barcelona Ciutat,74.5,1091726,3260,813336
Malestar emocional,2025,Sí,45 - 64,Home,Classe I,Estudis universitaris,Àrea Metropolitana Nord,28.9,1152395,890,333042
Malestar emocional,2025,No,45 - 64,Home,Classe I,Estudis universitaris,Àrea Metropolitana Nord,71.1,223376,1010,158820
Malestar emocional,2025,Sí,65 i més,Dona,Classe II,Estudis primaris i sense estudis,Terres de l’Ebre,29.3,1141843,3788,334560
Malestar emocional,2025,No,65 i més,Dona,Classe II,Estudis primaris i sense estudis,Terres de l’Ebre,70.7,713144,3360,504193
Malestar emocional,2026,Sí,75 i més,Dona,Classe III,Estudis primaris i sense estudis,Barcelona Ciutat,24.9,824751,3518,205363
Malestar emocional,2026,No,75 i més,Dona,Classe III,Estudis primaris i sense estudis,Barcelona Ciutat,75.1,242211,1048,181900
Malestar emocional,2023,Sí,0 - 14,Dona,Classe I,Estudis primaris i sense estudis,Girona,16.3,1298194,3246,211606
Malestar emocional,2023,No,0 - 14,Dona,Classe I,Estudis primaris i sense estudis,Girona,83.7,502356,2049,420472
Malestar emocional,2027,Sí,65 i més,Home,Classe II,Estudis universitaris,Barcelona Ciutat,23.3,1089783,3051,253919
Malestar emocional,2027,No,65 i més,Home,Classe II,Estudis universitaris,Barcelona Ciutat,76.7,665630,1027,510538
Malestar emocional,2025,Sí,75 i més,Home,Classe II,Estudis primaris i sense estudis,Girona,32.7,379950,1875,124244
Malestar emocional,2025,No,75 i més,Home,Classe II,Estudis primaris i sense estudis,Girona,67.3,616462,566,414879
Malestar emocional,2027,Sí,15 i més,Home,Classe I,Estudis secundaris,Àrea Metropolitana Nord,16.0,563293,1176,90127
Malestar emocional,2027,No,15 i més,Home,Classe I,Estudis secundaris,Àrea Metropolitana Nord,84.0,145994,367,122635
Malestar emocional,2025,Sí,45 - 64,Dona,Classe III,Estudis primaris i sense estudis,Terres de l’Ebre,18.2,376652,486,68551
Malestar emocional,2025,No,45 - 64,Dona,Classe III,Estudis primaris i sense estudis,Terres de l’Ebre,81.8,1010543,2739,826624
Malestar emocional,2026,Sí,65 i més,Home,Classe III,Estudis secundaris,Alt Pirineu i Aran,22.6,782468,1316,176838
Malestar emocional,2026,No,65 i més,Home,Classe III,Estudis secundaris,Alt Pirineu i Aran,77.4,1477196,6192,1143350
Malestar emocional,2023,Sí,0 - 14,Home,Classe I,Estudis universitaris,Lleida,20.9,1011437,4141,211390
Malestar emocional,2023,No,0 - 14,Home,Classe I,Estudis universitaris,Lleida,79.1,586802,514,464160
Malestar emocional,2025,Sí,15 - 44,Dona,Classe I,Estudis universitaris,Girona,16.8,117614,567,19759
Malestar emocional,2025,No,15 - 44,Dona,Classe I,Estudis universitaris,Girona,83.2,556697,1663,463172
Malestar emocional,2023,Sí,0 - 14,Dona,Classe III,Estudis universitaris,Barcelona Ciutat,34.2,783905,698,268096
Malestar emocional,2023,No,0 - 14,Dona,Classe III,Estudis universitaris,Barcelona Ciutat,65.8,547603,352,360323
Malestar emocional,2027,Sí,65 i més,Home,Classe II,Estudis universitaris,Alt Pirineu i Aran,33.7,328355,941,110656
Malestar emocional,2027,No,65 i més,Home,Classe II,Estudis universitaris,Alt Pirineu i Aran,66.3,695436,3344,461074
Malestar emocional,2025,Sí,75 i més,Home,Classe I,Estudis secundaris,Barcelona Ciutat,16.1,338392,1093,54481
Malestar emocional,2025,No,75 i més,Home,Classe I,Estudis secundaris,Barcelona Ciutat,83.9,1472337,2492,1235291
Malestar emocional,2027,Sí,0 - 14,Home,Classe II,Estudis primaris i sense estudis,Lleida,29.8,930366,1517,277249
Malestar emocional,2027,No,0 - 14,Home,Classe II,Estudis primaris i sense estudis,Lleida,70.2,185945,241,130533
Malestar emocional,2027,Sí,65 i més,Dona,Classe I,Estudis primaris i sense estudis,Alt Pirineu i Aran,20.0,662038,3246,132408
Malestar emocional,2027,No,65 i més,Dona,Classe I,Estudis primaris i sense estudis,Alt Pirineu i Aran,80.0,472634,355,378107
Malestar emocional,2024,Sí,75 i més,Dona,Classe III,Estudis universitaris,Cat. Central,28.4,969181,4237,275247
Malestar emocional,2024,No,75 i més,Dona,Classe III,Estudis universitaris,Cat. Central,71.6,610208,537,436909
Malestar emocional,2024,Sí,15 - 44,Home,Classe II,Estudis secundaris,Àrea Metropolitana Nord,25.7,1305213,2240,335440
Malestar emocional,2024,No,15 - 44,Home,Classe II,Estudis secundaris,Àrea Metropolitana Nord,74.3,1373993,6549,1020877
Malestar emocional,2026,Sí,75 i més,Dona,Classe III,Estudis universitaris,Barcelona Ciutat,24.8,1474914,4444,365779
Malestar emocional,2026,No,75 i més,Dona,Classe III,Estudis universitaris,Barcelona Ciutat,75.2,1046584,775,787031
Malestar emocional,2023,Sí,65 i més,Dona,Classe I,Estudis primaris i sense estudis,Àrea Metropolitana Sud,28.4,1226639,3549,348365
Malestar emocional,2023,No,65 i més,Dona,Classe I,Estudis primaris i sense estudis,Àrea Metropolitana Sud,71.6,130632,158,93533
Malestar emocional,2027,Sí,0 - 14,Home,Classe I,Estudis universitaris,Camp de Tarragona,30.6,473782,2225,144977
Malestar emocional,2027,No,0 - 14,Home,Classe I,Estudis universitaris,Camp de Tarragona,69.4,333428,1541,231399
Malestar emocional,2027,Sí,15 i més,Dona,Classe II,Estudis primaris i sense estudis,Lleida,19.4,666687,1930,129337
Malestar emocional,2027,No,15 i més,Dona,Classe II,Estudis primaris i sense estudis,Lleida,80.6,1478620,1968,1191768
Malestar emocional,2027,Sí,0 - 14,Home,Classe II,Estudis primaris i sense estudis,Barcelona Ciutat,23.7,1438671,5436,340965
Malestar emocional,2027,No,0 - 14,Home,Classe II,Estudis primaris i sense estudis,Barcelona Ciutat,76.3,538490,1595,410868
Malestar emocional,2027,Sí,65 i més,Home,Classe I,Estudis secundaris,Lleida,16.7,1235039,3678,206252
Malestar emocional,2027,No,65 i més,Home,Classe I,Estudis secundaris,Lleida,83.3,1392878,3003,1160267
Malestar emocional,2026,Sí,45 - 64,Dona,Classe II,Estudis primaris i sense estudis,Lleida,22.1,900104,2307,198923
Malestar emocional,2026,No,45 - 64,Dona,Classe II,Estudis primaris i sense estudis,Lleida,77.9,292477,1063,227840
Malestar emocional,2025,Sí,65 - 74,Dona,Classe I,Estudis universitaris,Àrea Metropolitana Sud,15.3,801617,3514,122647
Malestar emocional,2025,No,65 - 74,Dona,Classe I,Estudis universitaris,Àrea Metropolitana Sud,84.7,954547,2900,808501
Malestar emocional,2026,Sí,0 - 14,Dona,Classe II,Estudis primaris i sense estudis,Àrea Metropolitana Nord,23.7,1190412,1675,282128
Malestar emocional,2026,No,0 - 14,Dona,Classe II,Estudis primaris i sense estudis,Àrea Metropolitana Nord,76.3,1498552,4002,1143395
